,dimension,avgs_sla,stds_sla,avgs_np,stds_np
0,0,2.5820732116699218e-05,1.5159766188448799e-05,1.3780593872070312e-05,6.406143510783141e-06
1,100,0.0010427713394165039,0.00025016803886323885,0.0008971452713012696,0.0003351928228096755
2,200,0.002740931510925293,0.0007994944077953814,0.0026895999908447266,0.0009709665173522258
3,300,0.00352632999420166,0.0005134273355411561,0.003073239326477051,0.0006367083608983641
4,400,0.005192065238952636,0.0004794115245469476,0.004613566398620606,0.0006866897880826666
5,500,0.006931185722351074,0.001059891203902004,0.005644512176513672,0.0012370733987274573
6,600,0.00897681713104248,0.0012449110306269962,0.0070370912551879885,0.001624673639417055
7,700,0.012289047241210938,0.0025153892425072914,0.010521149635314942,0.001044268055307862
8,800,0.017111873626708983,0.0008406997273821331,0.012645769119262695,0.002431456888012498
9,900,0.02413349151611328,0.005710299054998223,0.023023343086242674,0.015260230151481272
10,1000,0.022757792472839357,0.0025561282472392464,0.02183687686920166,0.002639016912370343
11,1100,0.028299570083618164,0.0031296759061907133,0.02616593837738037,0.005993829069798335
12,1200,0.033806896209716795,0.004065975268532348,0.028747177124023436,0.004905230005868015
13,1300,0.0389934778213501,0.0049899883460912614,0.032817840576171875,0.002870205537756924
14,1400,0.05104298591613769,0.011026154213504556,0.04193613529205322,0.006628779308329537
15,1500,0.05261709690093994,0.005254881417496723,0.04435079097747803,0.004712456507193092
16,1600,0.06288375854492187,0.006836997714564772,0.05390465259552002,0.0081113447313239
17,1700,0.06561343669891358,0.00794930079569306,0.054791498184204104,0.003976559845891706
18,1800,0.07369303703308105,0.0077924398309612885,0.06457130908966065,0.009718550383644732
19,1900,0.07954261302947999,0.004457549132888395,0.07105026245117188,0.007852135633609023
20,2000,0.08956913948059082,0.0054598416506695295,0.07918682098388671,0.008136765122454075
21,2100,0.12113254070281983,0.027268606675866097,0.08848786354064941,0.014005904280891978
22,2200,0.13310580253601073,0.022417074824498392,0.10491516590118408,0.014504463160642413
23,2300,0.15102434158325195,0.04183832434630986,0.12672505378723145,0.019724473819595047
24,2400,0.14678535461425782,0.017674015185526647,0.11772811412811279,0.009174983053256763
25,2500,0.19587602615356445,0.10502345262952814,0.1157505989074707,0.012498786780511261
26,2600,0.16502938270568848,0.02759841411371852,0.13096988201141357,0.011914758080351168
27,2700,0.17807257175445557,0.008383557923521266,0.1466928482055664,0.026883258044216485
28,2800,0.1932143449783325,0.011144919172502673,0.15093135833740234,0.012280466896855788
29,2900,0.20733437538146973,0.007595822040264859,0.1689680576324463,0.008833315680991969
30,3000,0.23294601440429688,0.01710885861243482,0.18256468772888185,0.01597233068813319
31,3100,0.25192339420318605,0.00906528294774558,0.19772543907165527,0.012129932862350618
32,3200,0.28529767990112304,0.016775546057534393,0.2144453525543213,0.013178814377929548
33,3300,0.3031806707382202,0.015793092603603655,0.23733325004577638,0.009932845640547534
34,3400,0.3191379547119141,0.01601274979576383,0.27348062992095945,0.040008707181161146
35,3500,0.3665454864501953,0.017871496731279156,0.288618803024292,0.0316985406986829
36,3600,0.39267549514770506,0.016862725435352725,0.3134183883666992,0.031514705243782276
37,3700,0.3864868640899658,0.011126123730066365,0.3010188341140747,0.02238754554401759
38,3800,0.4190047740936279,0.03506797344009433,0.3240004777908325,0.025755309092664515
39,3900,0.4316282033920288,0.014622076183529491,0.33747589588165283,0.010305259989390907
40,4000,0.45850701332092286,0.024542945866157,0.36823210716247556,0.04912787401560133
41,4100,0.483322286605835,0.02099996693828858,0.3750056982040405,0.028376286932835962
42,4200,0.5031845331192016,0.01767403327680275,0.40364272594451905,0.04820910842850309
43,4300,0.5235707759857178,0.017136613924499187,0.39615182876586913,0.02480983016487625
44,4400,0.5393786907196045,0.013144444423201517,0.4279669523239136,0.015266670345734718
45,4500,0.583804988861084,0.02217900073841313,0.4498953580856323,0.021592262284509327
46,4600,0.6045417547225952,0.020418154325132117,0.4877955198287964,0.06247093260459903
47,4700,0.6559985876083374,0.03481012045535203,0.49779052734375,0.017757819259550764
48,4800,0.6859518051147461,0.01571244732039834,0.5493793249130249,0.03638516122670033
49,4900,0.6959568738937378,0.017006135049048392,0.5501085042953491,0.01964070420146437
50,5000,0.7627018451690674,0.03472066492829638,0.59406578540802,0.017397575427969467
51,5100,0.8060204982757568,0.03434580597106141,0.6530179262161255,0.06846812447754255
52,5200,0.8593062877655029,0.12725586185265644,0.6541023969650268,0.0274615477692659
53,5300,0.8814953088760376,0.06569749095087198,0.7054660320281982,0.054885986741637444
54,5400,0.8908139705657959,0.05426645346024318,0.7040754318237304,0.032986276091727336
55,5500,0.8985786199569702,0.023294734914143928,0.6891042470932007,0.020309926461686983
56,5600,0.9836714744567872,0.07731540932900526,0.7467320203781128,0.025095555482985532
57,5700,0.9867025136947631,0.033460495381942186,0.7762989044189453,0.02550652199402995
58,5800,1.0277836799621582,0.032579309221195285,0.8064404249191284,0.02770695749247324
59,5900,1.1120086908340454,0.07768881072569658,0.9035566806793213,0.06013167216696255
60,6000,1.1680713891983032,0.14474460896825267,0.8984107971191406,0.07269892634855313
61,6100,1.1696649074554444,0.04240812370505403,0.8984785795211792,0.026627732613236595
62,6200,1.2666270732879639,0.0702832797951419,0.988381028175354,0.06303584794330698
63,6300,1.2397133111953735,0.043602327293145574,1.0048516988754272,0.03939370033126428
64,6400,1.3394560813903809,0.07064086959803895,1.0626078844070435,0.07504595249484995
65,6500,1.3427913665771485,0.052962057678117916,1.049064826965332,0.037147485567898875
66,6600,1.332833170890808,0.03451732725010672,1.0825751304626465,0.041031406066146185
67,6700,1.4219873905181886,0.040089747788507324,1.1451999425888062,0.0312071054464425
68,6800,1.5043026208877563,0.06469735217681252,1.1776366710662842,0.027688023778379003
69,6900,1.5327123880386353,0.04315529070449937,1.2650412797927857,0.12005909146916233
70,7000,1.55395827293396,0.04627983323781632,1.274122405052185,0.06961984849859877
71,7100,1.6120423555374146,0.04979504730031274,1.2821215391159058,0.019964791985767543
72,7200,1.6600929737091064,0.0493764573807211,1.323613214492798,0.029968201956764032
73,7300,1.8352305889129639,0.29634543523959755,1.3858465433120728,0.047267722238181584
74,7400,1.7565678596496581,0.0484372543346952,1.4543066263198852,0.06916550243364468
75,7500,1.8247079610824586,0.06579067553186081,1.478622603416443,0.05409250408392371
76,7600,1.8804253339767456,0.04296619655013246,1.5505741596221925,0.04097513906314886
77,7700,1.995575523376465,0.08709344818761972,1.597932505607605,0.05864755729808404
78,7800,2.0397631406784056,0.04162809196892778,1.684044098854065,0.07345319140701305
79,7900,2.0718643426895142,0.05357732869392043,1.711530900001526,0.03626862360355882
80,8000,2.1750437021255493,0.06423002772748128,1.746518850326538,0.042336266832726635
81,8100,2.2566745042800904,0.1452583820833839,1.818112325668335,0.05565250877846786
82,8200,2.445667338371277,0.20463956122828938,2.008965826034546,0.1545033308033268
83,8300,2.5220139503479,0.2624066723402072,1.9887842178344726,0.04061809783728599
84,8400,2.556530737876892,0.19516662654880806,2.029966878890991,0.07041912676839548
85,8500,2.5158770084381104,0.045015631300020016,2.0749121427536013,0.04122719634183394
86,8600,2.5839407682418822,0.06114498747203307,2.1244760751724243,0.1230357079097385
87,8700,2.7112167835235597,0.047818108553536146,2.1965460062026976,0.03765997930705351
88,8800,2.7726415395736694,0.08401435242128782,2.246784734725952,0.04813558852819601
89,8900,2.883165645599365,0.07148947634075585,2.3408092975616457,0.08258717447203018
90,9000,2.9386719942092894,0.06548912413342656,2.371873927116394,0.06358501858597598
91,9100,3.0661543369293214,0.09734010303606831,2.4854588508605957,0.08949717557073804
92,9200,3.0641305685043334,0.07654020206723218,2.5056554794311525,0.042377474324968634
93,9300,3.1533620357513428,0.07436644791282555,2.6126549005508424,0.07563504071189482
94,9400,3.297555088996887,0.1399277221324752,2.7466827392578126,0.1191417879700394
95,9500,3.3453512668609617,0.09947123804808657,2.764628863334656,0.08227119814421917
96,9600,3.591938018798828,0.14323365682532826,2.872095537185669,0.05317626627818774
97,9700,3.5043235778808595,0.09129496982541868,2.9033523082733153,0.09850805747815561
98,9800,3.5804059982299803,0.09736006902549386,2.9560821056365967,0.13170119065963024
99,9900,3.676155114173889,0.1238147733749316,3.0487130880355835,0.13461452920829375
100,10000,3.7932300090789797,0.10425191727397885,3.130945658683777,0.08140413194053361
